35,搜索插入位置,2390,47.0%,简单
4,寻找两个正序数组的中位数,2255,39.5%,困难
34,在排序数组中查找元素的第一个和最后一个位置,1956,42.2%,中等
33,搜索旋转排序数组,1463,40.3%,中等
69,x的平方根,1247,39.2%,简单
392,判断子序列,1157,50.8%,简单
167,两数之和II-输入有序数组,1140,57.3%,简单
300,最长递增子序列,1139,46.8%,中等
剑指Offer11,旋转数组的最小数字,1021,49.4%,简单
349,两个数组的交集,1012,73.5%,简单
50,Pow(x n),906,37.2%,中等
剑指Offer53-II,0～n-1中缺失的数字,900,44.1%,简单
350,两个数组的交集II,885,53.8%,简单
287,寻找重复数,785,66.2%,中等
209,长度最小的子数组,774,44.8%,中等
剑指Offer53-I,在排序数组中查找数字I,707,53.0%,简单
74,搜索二维矩阵,695,40.0%,中等
222,完全二叉树的节点个数,621,76.7%,中等
29,两数相除,606,20.4%,中等
153,寻找旋转排序数组中的最小值,605,52.2%,中等
230,二叉搜索树中第K小的元素,517,72.8%,中等
378,有序矩阵中第K小的元素,442,63.1%,中等
704,二分查找,433,55.8%,简单
1351,统计有序矩阵中的负数,423,75.8%,简单
315,计算右侧小于当前元素的个数,404,42.1%,困难
718,最长重复子数组,403,54.8%,中等
240,搜索二维矩阵II,397,43.6%,中等
278,第一个错误的版本,394,41.9%,简单
162,寻找峰值,388,48.3%,中等
81,搜索旋转排序数组II,384,36.5%,中等
1111,有效括号的嵌套深度,376,77.5%,中等
367,有效的完全平方数,372,43.7%,简单
面试题08.03,魔术索引,363,68.1%,简单
454,四数相加II,356,58.3%,中等
154,寻找旋转排序数组中的最小值II,338,50.5%,困难
1095,山脉数组中查找目标值,338,36.9%,困难
174,地下城游戏,325,48.3%,困难
1300,转变数组后最接近目标值的数组和,320,47.2%,中等
441,排列硬币,304,41.9%,简单
852,山脉数组的峰顶索引,255,70.4%,简单
744,寻找比目标字母大的最小字母,250,45.6%,简单
887,鸡蛋掉落,244,28.9%,困难
374,猜数字大小,236,46.9%,简单
493,翻转对,223,33.8%,困难
410,分割数组的最大值,211,54.0%,困难
1337,矩阵中战斗力最弱的K行,208,65.4%,简单
540,有序数组中的单一元素,202,59.5%,中等