215,数组中的第K个最大元素,1354,64.7%,中等
23,合并K个升序链表,1348,54.0%,困难
剑指Offer40,最小的k个数,1248,57.1%,简单
347,前K个高频元素,940,61.8%,中等
239,滑动窗口最大值,859,49.5%,困难
1046,最后一块石头的重量,758,65.9%,简单
973,最接近原点的K个点,542,63.2%,中等
378,有序矩阵中第K小的元素,442,63.1%,中等
767,重构字符串,428,47.3%,中等
451,根据字符出现频率排序,376,66.4%,中等
355,设计推特,344,40.6%,中等
703,数据流中的第K大元素,313,46.1%,简单
面试题17.14,最小K个数,254,54.2%,中等
264,丑数II,246,55.1%,中等
692,前K个高频单词,236,52.4%,中等
剑指Offer41,数据流中的中位数,230,56.7%,困难
659,分割数组为连续子序列,226,54.3%,中等
295,数据流的中位数,219,49.8%,困难
253,会议室II,206,47.2%,中等