17,电话号码的字母组合,1919,55.7%,中等
22,括号生成,1675,76.7%,中等
46,全排列,1598,77.5%,中等
78,子集,1234,79.5%,中等
39,组合总和,1188,71.9%,中等
51,N皇后,999,73.6%,困难
47,全排列II,931,62.6%,中等
79,单词搜索,885,44.0%,中等
93,复原IP地址,872,51.4%,中等
40,组合总和II,858,64.2%,中等
10,正则表达式匹配,820,30.7%,困难
77,组合,735,76.3%,中等
60,排列序列,729,51.8%,困难
216,组合总和III,720,73.7%,中等
37,解数独,578,66.8%,困难
90,子集II,522,61.7%,中等
面试题16.11,跳水板,511,44.2%,简单
剑指Offer38,字符串的排列,510,55.1%,中等
52,N皇后II,462,82.1%,困难
44,通配符匹配,389,31.7%,困难
131,分割回文串,359,70.2%,中等
329,矩阵中的最长递增路径,339,46.4%,困难
401,二进制手表,327,53.2%,简单
89,格雷编码,319,69.5%,中等
140,单词拆分II,318,44.3%,困难
842,将数组拆分成斐波那契序列,288,49.4%,中等
784,字母大小写全排列,281,66.5%,中等
212,单词搜索II,270,44.8%,困难
面试题17.13,恢复空格,241,55.5%,中等
357,计算各个位数不同的数字个数,238,51.7%,中等
126,单词接龙II,230,39.0%,困难
面试题08.04,幂集,222,81.9%,中等
面试题08.07,无重复字符串的排列组合,220,80.9%,中等
面试题08.09,括号,212,81.4%,中等
面试题08.12,八皇后,210,75.8%,困难